snapped_at,price,market_cap,total_volume
2022-01-29 00:00:00 UTC,0.15147361717535474,0.0,6395159.119170269
2022-01-30 00:00:00 UTC,0.15147361717535474,0.0,6395159.119170269
2022-01-31 00:00:00 UTC,0.08353544276370373,0.0,853441.232478814
2022-02-01 00:00:00 UTC,0.10353700495910612,0.0,579803.4887919073
2022-02-02 00:00:00 UTC,0.17094111280932658,0.0,640770.2224756037
2022-02-03 00:00:00 UTC,0.16739677930123845,0.0,251613.4394032661
2022-02-04 00:00:00 UTC,0.1785413140885985,0.0,180551.3913768957
2022-02-05 00:00:00 UTC,0.19170133532538283,0.0,230462.0695144437
2022-02-06 00:00:00 UTC,0.17212553302522574,0.0,90926.63176284287
2022-02-07 00:00:00 UTC,0.1595935025012111,0.0,41015.38057787299
2022-02-08 00:00:00 UTC,0.17872388927762062,0.0,224080.27962762245
2022-02-09 00:00:00 UTC,0.15069229282334595,0.0,87931.04933231675
2022-02-10 00:00:00 UTC,0.14291399269852242,0.0,68370.65995484922
2022-02-11 00:00:00 UTC,0.1402538629552378,0.0,39946.656643925155
2022-02-12 00:00:00 UTC,0.1440312920473201,0.0,86717.3344764707
2022-02-13 00:00:00 UTC,0.141379709864152,0.0,28367.687578477748
2022-02-14 00:00:00 UTC,0.1406306252698767,0.0,31666.815894934713
2022-02-15 00:00:00 UTC,0.15300103702676332,0.0,32259.979346640925
2022-02-16 00:00:00 UTC,0.14207253935709363,4846424.657631022,104897.29327664635
2022-02-17 00:00:00 UTC,0.1366662788762716,5107241.588790971,62152.23079182529
2022-02-18 00:00:00 UTC,0.12803680543276746,4868576.937328145,171370.8408855772
2022-02-19 00:00:00 UTC,0.12559910063789412,4818438.053435664,293548.8576047654
2022-02-20 00:00:00 UTC,0.12765230462794014,4990961.186181338,200031.36866796727
2022-02-21 00:00:00 UTC,0.12369597612626387,4851687.617255424,269741.14794514613
2022-02-22 00:00:00 UTC,0.12067796850249005,5095955.33387293,329247.3443616357
2022-02-23 00:00:00 UTC,0.12083130755670217,5098934.855804758,401417.0040956224
2022-02-24 00:00:00 UTC,0.11837976962217606,5054091.126593945,273812.5710770399
2022-02-25 00:00:00 UTC,0.11128804191176411,4784489.723157022,369570.49448084075
2022-02-26 00:00:00 UTC,0.11426133529963596,4908298.9394084755,386357.63564843783
2022-02-27 00:00:00 UTC,0.11233066214062841,4983730.687934466,413620.7237631752
2022-02-28 00:00:00 UTC,0.10763983726677374,4736426.258715425,331035.04492247436
2022-03-01 00:00:00 UTC,0.10811046646883168,4851440.629199379,166307.05296952312
2022-03-02 00:00:00 UTC,0.113226740764849,5490045.387634441,155355.50475729938
2022-03-03 00:00:00 UTC,0.11873864684729217,5951349.522021771,227360.77902560038
2022-03-04 00:00:00 UTC,0.11629804008665046,5877609.038385818,297786.1617214158
2022-03-05 00:00:00 UTC,0.11015651245835413,5654743.137706727,175253.56940911902
2022-03-06 00:00:00 UTC,0.11001819277104433,5665661.146345842,270407.9854801845
2022-03-07 00:00:00 UTC,0.12579119551986467,6513053.839026244,569580.7050347293
2022-03-08 00:00:00 UTC,0.11698328233873619,6348433.597348174,176269.4935014771
2022-03-09 00:00:00 UTC,0.10938560280126655,5944040.233763755,176060.95205664443
2022-03-10 00:00:00 UTC,0.1069644944184023,5833836.363009414,111960.29620701911
2022-03-11 00:00:00 UTC,0.10809982660361077,5936329.235012131,262435.3390375607
2022-03-12 00:00:00 UTC,0.1073837131465116,5940501.943942777,209494.53906899242
2022-03-13 00:00:00 UTC,0.1087759360581294,6045093.829746363,306082.4812308877
2022-03-14 00:00:00 UTC,0.10596713778448437,5902436.296664795,421011.4991369858
2022-03-15 00:00:00 UTC,0.10216398405468548,5889795.6510110125,359653.987947645
2022-03-16 00:00:00 UTC,0.09470522927519344,5547558.056616912,422975.58653276955
2022-03-17 00:00:00 UTC,0.0973568271596393,5845715.417859614,385841.32315857336
2022-03-18 00:00:00 UTC,0.09748573768509601,5874631.894812309,376406.73724647396
2022-03-19 00:00:00 UTC,0.0961579938314246,5862324.449690993,357073.1208427577
2022-03-20 00:00:00 UTC,0.09585221528020134,5869655.553907762,340327.2467505628
2022-03-21 00:00:00 UTC,0.09139921913371961,5616622.742329987,286058.2735953648
2022-03-22 00:00:00 UTC,0.07936562754222551,5015652.396393319,328953.7204216558
2022-03-23 00:00:00 UTC,0.07876085315356257,4999583.902237978,260450.33912007837
2022-03-24 00:00:00 UTC,0.07795616770750935,5771736.08181634,226502.6282166244
2022-03-25 00:00:00 UTC,0.07754507464800217,5762310.031407896,282145.6474810992
2022-03-26 00:00:00 UTC,0.07789268091546453,6588854.894995719,298775.73253468337
2022-03-27 00:00:00 UTC,0.07632766396140932,6557231.486029644,295656.97622929345
2022-03-28 00:00:00 UTC,0.07724687286502208,6654883.454254839,296821.37644662644
2022-03-29 00:00:00 UTC,0.07553854786944307,6655783.663894821,297679.89614806534
2022-03-30 00:00:00 UTC,0.07502112608922651,6653132.758163483,233435.32192625199
2022-03-31 00:00:00 UTC,0.07567588768952058,7559282.5279735755,279105.3162007753
2022-04-01 00:00:00 UTC,0.07595559827441732,7570635.326712387,265360.72427252866
2022-04-02 00:00:00 UTC,0.07590029708818014,7641891.151895389,262393.77152830636
2022-04-03 00:00:00 UTC,0.07567336162282326,7648856.982769321,238699.71901282857
2022-04-04 00:00:00 UTC,0.07561091873852814,7645828.901339988,211161.59844724124
2022-04-05 00:00:00 UTC,0.07753635409701012,7961636.226146449,449738.69531355775
